ID,Language,Category,Phoneme,Notes,Source,PhoibleID
19,Portuguese,Lexifier,p,,Castro2013[242-248],
19,Portuguese,Lexifier,b,,Castro2013[242-248],
19,Portuguese,Lexifier,t,,Castro2013[242-248],
19,Portuguese,Lexifier,d,,Castro2013[242-248],
19,Portuguese,Lexifier,k,,Castro2013[242-248],
19,Portuguese,Lexifier,g,,Castro2013[242-248],
19,Portuguese,Lexifier,f,,Castro2013[242-248],
19,Portuguese,Lexifier,v,,Castro2013[242-248],
19,Portuguese,Lexifier,s,,Castro2013[242-248],
19,Portuguese,Lexifier,z,,Castro2013[242-248],
19,Portuguese,Lexifier,ʃ,,Castro2013[242-248],
19,Portuguese,Lexifier,ʒ,,Castro2013[242-248],
19,Portuguese,Lexifier,ɾ,,Castro2013[242-248],
19,Portuguese,Lexifier,ʀ,,Castro2013[242-248],
19,Portuguese,Lexifier,l,,Castro2013[242-248],
19,Portuguese,Lexifier,ʎ,,Castro2013[242-248],
19,Portuguese,Lexifier,m,,Castro2013[242-248],
19,Portuguese,Lexifier,n,,Castro2013[242-248],
19,Portuguese,Lexifier,ɲ,,Castro2013[242-248],
18,Timor Pidgin,creole,p,,Baxter1990[7],
18,Timor Pidgin,creole,t,,Baxter1990[7],
18,Timor Pidgin,creole,k,,Baxter1990[7],
18,Timor Pidgin,creole,b,,Baxter1990[7],
18,Timor Pidgin,creole,d,,Baxter1990[7],
18,Timor Pidgin,creole,g,,Baxter1990[7],
18,Timor Pidgin,creole,t̠ʃ,,Baxter1990[7],
18,Timor Pidgin,creole,d̠ʒ,,Baxter1990[7],
18,Timor Pidgin,creole,f,,Baxter1990[7],
18,Timor Pidgin,creole,s,,Baxter1990[7],
18,Timor Pidgin,creole,ʃ,varies with [t̠ʃ],Baxter1990[7],
18,Timor Pidgin,creole,ʒ,varies with [d̠ʒ],Baxter1990[7],
18,Timor Pidgin,creole,v,varies with [b],Baxter1990[7],
18,Timor Pidgin,creole,z,,Baxter1990[7],
18,Timor Pidgin,creole,m,,Baxter1990[7],
18,Timor Pidgin,creole,n,,Baxter1990[7],
18,Timor Pidgin,creole,ɲ,,Baxter1990[7],
18,Timor Pidgin,creole,ŋ,,Baxter1990[7],
18,Timor Pidgin,creole,r,,Baxter1990[7],
18,Timor Pidgin,creole,l,,Baxter1990[7],
18,Timor Pidgin,creole,j,,Baxter1990[7],
18,Timor Pidgin,creole,w,,Baxter1990[7],
13,Papia Kristang,creole,p,,Pillaietal2021[2],
13,Papia Kristang,creole,t̪,,Pillaietal2021[2],
13,Papia Kristang,creole,k,,Pillaietal2021[2],
13,Papia Kristang,creole,b,,Pillaietal2021[2],
13,Papia Kristang,creole,d,,Pillaietal2021[2],
13,Papia Kristang,creole,g,,Pillaietal2021[2],
13,Papia Kristang,creole,t̠ʃ,,Pillaietal2021[2],
13,Papia Kristang,creole,d̠ʒ,,Pillaietal2021[2],
13,Papia Kristang,creole,f,,Pillaietal2021[2],
13,Papia Kristang,creole,s,,Pillaietal2021[2],
13,Papia Kristang,creole,v,highly infrequent and restricted in distribution,Pillaietal2021[2],
13,Papia Kristang,creole,z,does not constrast initially,Pillaietal2021[2],
13,Papia Kristang,creole,m,,Pillaietal2021[2],
13,Papia Kristang,creole,n,,Pillaietal2021[2],
13,Papia Kristang,creole,ɲ,occurs infrequently in initial position.,Pillaietal2021[2],
13,Papia Kristang,creole,ŋ,,Pillaietal2021[2],
13,Papia Kristang,creole,r,"/r/ is realised both as a tap and a trill. These are not positional variants but rather depend on emphasis, the trill occurring under stress.",Pillaietal2021[2],
13,Papia Kristang,creole,l,,Pillaietal2021[2],
13,Papia Kristang,creole,j,,Pillaietal2021[2],
13,Papia Kristang,creole,w,highly infrequent,Pillaietal2021[2],
14,Patua Macau,creole,p,,AranaWard1977[60],
14,Patua Macau,creole,t,,AranaWard1977[60],
14,Patua Macau,creole,k,,AranaWard1977[60],
14,Patua Macau,creole,b,,AranaWard1977[60],
14,Patua Macau,creole,d,,AranaWard1977[60],
14,Patua Macau,creole,g,,AranaWard1977[60],
14,Patua Macau,creole,t̠ʃ,,AranaWard1977[60],
14,Patua Macau,creole,d̠ʒ,,AranaWard1977[60],
14,Patua Macau,creole,f,,AranaWard1977[60],
14,Patua Macau,creole,s,,AranaWard1977[60],
14,Patua Macau,creole,ʃ,young speakers only,AranaWard1977[60],
14,Patua Macau,creole,ʒ,young speakers only,AranaWard1977[60],
14,Patua Macau,creole,v,,AranaWard1977[60],
14,Patua Macau,creole,z,,AranaWard1977[60],
14,Patua Macau,creole,m,,AranaWard1977[60],
14,Patua Macau,creole,n,,AranaWard1977[60],
14,Patua Macau,creole,ɲ,,AranaWard1977[60],
14,Patua Macau,creole,ŋ,,AranaWard1977[60],
14,Patua Macau,creole,r,,AranaWard1977[60],
14,Patua Macau,creole,l,,AranaWard1977[60],
14,Patua Macau,creole,j,,AranaWard1977[60],
14,Patua Macau,creole,w,,AranaWard1977[60],
34,Tetum,substrate,m,,VanEngelenhovenKlinken2006,1680
34,Tetum,substrate,k,,VanEngelenhovenKlinken2006,1680
34,Tetum,substrate,w,,VanEngelenhovenKlinken2006,1680
34,Tetum,substrate,n,,VanEngelenhovenKlinken2006,1680
34,Tetum,substrate,t,,VanEngelenhovenKlinken2006,1680
34,Tetum,substrate,l,,VanEngelenhovenKlinken2006,1680
34,Tetum,substrate,s,,VanEngelenhovenKlinken2006,1680
34,Tetum,substrate,b,,VanEngelenhovenKlinken2006,1680
34,Tetum,substrate,h,,VanEngelenhovenKlinken2006,1680
34,Tetum,substrate,d,,VanEngelenhovenKlinken2006,1680
34,Tetum,substrate,r,,VanEngelenhovenKlinken2006,1680
34,Tetum,substrate,f,,VanEngelenhovenKlinken2006,1680
34,Tetum,substrate,ʔ,,VanEngelenhovenKlinken2006,1680
35,Larantuka Malay,substrate,m,,Paauw2008,1688
35,Larantuka Malay,substrate,k,,Paauw2008,1688
35,Larantuka Malay,substrate,j,,Paauw2008,1688
35,Larantuka Malay,substrate,p,,Paauw2008,1688
35,Larantuka Malay,substrate,w,,Paauw2008,1688
35,Larantuka Malay,substrate,n,,Paauw2008,1688
35,Larantuka Malay,substrate,t,,Paauw2008,1688
35,Larantuka Malay,substrate,l,,Paauw2008,1688
35,Larantuka Malay,substrate,s,,Paauw2008,1688
35,Larantuka Malay,substrate,b,,Paauw2008,1688
35,Larantuka Malay,substrate,ŋ,,Paauw2008,1688
35,Larantuka Malay,substrate,ɡ,,Paauw2008,1688
35,Larantuka Malay,substrate,d,,Paauw2008,1688
35,Larantuka Malay,substrate,r,,Paauw2008,1688
35,Larantuka Malay,substrate,f,,Paauw2008,1688
35,Larantuka Malay,substrate,ɲ,,Paauw2008,1688
35,Larantuka Malay,substrate,ʔ,,Paauw2008,1688
35,Larantuka Malay,substrate,c,,Paauw2008,1688
35,Larantuka Malay,substrate,ɟ,,Paauw2008,1688
31,Standard Malay,substrate,m,,ClynesDeterding2011,2223
31,Standard Malay,substrate,k,,ClynesDeterding2011,2223
31,Standard Malay,substrate,j,,ClynesDeterding2011,2223
