Class,Phoneme,Position,Example,Reference,Gloss
Stops,p,Word-initial,[ˈpɛna],Araújo & Hagemeijer 2013: 74,feather
,,word-medial,[saˈpe],Araújo & Hagemeijer 2013: 82,hat
,b,Word-initial,[ˈbisu],Araújo & Hagemeijer 2013: 29,animal
,,word-medial,[kaˈbelu],Araújo & Hagemeijer 2013: 48,hair
,t,Word-initial,[ˈtudu],Araújo & Hagemeijer 2013: 87,all
,,word-medial,[ˈnɛtu ˈɔmɛ],Araújo & Hagemeijer 2013: 68,grandson
,d,Word-initial,[ˈdɔʃi],Araújo & Hagemeijer 2013: 34,sweet
,,word-medial,[ˈtudu],Araújo & Hagemeijer 2013: 87,all
,k,Word-initial,[kaˈbelu],Araújo & Hagemeijer 2013: 48,hair
,,word-medial,[ˈsɛku],Araújo & Hagemeijer 2013: 82,dry
,g,Word-initial,[ˈgatu],Araújo & Hagemeijer 2013: 43,cat
,,word-medial,[ˈzogo],Araújo & Hagemeijer 2013: 97,game
Fricativas,v,Word-initial,[ˈvĩ],Araújo & Hagemeijer 2013: 90,wine
,,word-medial,[laˈba],Araújo & Hagemeijer 2013: 57,to wash
,f,Word-initial,[ˈfɛlu],Araújo & Hagemeijer 2013: 38,iron
,,word-medial,[muˈfada],Araújo & Hagemeijer 2013: 67,pillow
,s,Word-initial,[ˈsuzu],Araújo & Hagemeijer 2013: 84,dirty
,,word-medial,[ˈdɔʃi],Araújo & Hagemeijer 2013: 34,sweet
,z,Word-initial,[ˈzɔna],Araújo & Hagemeijer 2013: 97,zone
,,word-medial,[ˈkɛ],Araújo & Hagemeijer 2013: 49,house
,ʃ,Word-initial,[ˈsabi],Araújo & Hagemeijer 2013: 81,key
,,word-medial,[ˈbisu],Araújo & Hagemeijer 2013: 29,animal
,ʒ,Word-initial,[ˈzogo],Araújo & Hagemeijer 2013: 97,game
,,word-medial,[ˈsuzu],Araújo & Hagemeijer 2013: 84,dirty
Rothics,ɾ,Word-medial,[sɛˈla],Araújo & Hagemeijer 2013: 82,to smell
,,Word-final,[laˈba],Araújo & Hagemeijer 2013: 57,to wash
,R,Word-initial,[ˈlɐ̃ɲu],Araújo & Hagemeijer 2013: 57,snivel
,,word-medial,[ˈfɛlu],Araújo & Hagemeijer 2013: 38,iron
Laterals,l,Word-initial,[laˈba],Araújo & Hagemeijer 2013: 57,to wash
,,word-medial,[kaˈbelu],Araújo & Hagemeijer 2013: 48,hair
,,word-final,[naˈta],Araújo & Hagemeijer 2013: 68,christmas
,ʎ,word-medial,[ˈmwala],Araújo & Hagemeijer 2013: 66,woman
Nasals,m,Word-initial,[ˈmwala],Araújo & Hagemeijer 2013: 66,woman
,,word-medial,[ˈnɔmi],Araújo & Hagemeijer 2013: 70,name
,n,Word-initial,[ˈnɛtu ˈɔmɛ],Araújo & Hagemeijer 2013: 68,grandson
,,word-medial,[ˈpɛna],Araújo & Hagemeijer 2013: 74,feather
,ɲ,Word-medial,[ˈlɐ̃ɲu],Araújo & Hagemeijer 2013: 57,snivel
