Language,Area,duration,duration_group,ContactConditions,MeanStability
Angolar,Gulf of Guinea,37,short,Slavery,0.6666666666666667
Cape Verdean Brava,Upper Guinea,402,long,Slavery,0.9285714285714286
Cape Verdean Fogo,Upper Guinea,515,long,Slavery,0.8857142857142857
Cape Verdean Santiago,Upper Guinea,515,long,Slavery,0.918918918918919
Cape Verdean Santo Antão,Upper Guinea,513,long,Slavery,0.9444444444444444
Cape Verdean São Vicente,Upper Guinea,137,short,Slavery,0.9166666666666666
Casamancese,Upper Guinea,241,short,Slavery,0.875
Daman,Northern India,402,long,Commerce,0.9027777777777778
Diu,Northern India,426,long,Commerce,0.8888888888888888
Fa d'Ambô,Gulf of Guinea,235,short,Slavery,0.6527777777777778
Guinea-Bissau Kriyol,Upper Guinea,386,long,Slavery,0.9054054054054054
Kannur,Southern India,158,short,Commerce,0.9
Korlai,Northern India,216,short,Commerce,0.8194444444444444
Papiá Kristang,Southeast Asia,130,short,Commerce,0.875
Patua Macau,Southeast Asia,442,long,Commerce,0.9054054054054055
Principense,Gulf of Guinea,476,long,Slavery,0.8243243243243242
Santome,Gulf of Guinea,482,long,Slavery,0.7702702702702703
Sri Lanka,Southern India,141,short,Commerce,0.8888888888888888
Timor creole,Southeast Asia,191,short,Commerce,0.9
