Language,Area,Lexifier,FirstMajorSettlement,EndOfInfluence,ContactConditions,LanguageContact,Class,Position,LexifierPhoneme,CreolePhoneme,PlaceStability,MannerStability,Word,Gloss,Source
Principense,Gulf of Guinea,Portuguese,1499,1975,Slavery,Edo,Stops,word-initial,p,p,1,1,[ˈpɛnɛ],feather,Maurer2009[232]
Principense,Gulf of Guinea,Portuguese,1499,1975,Slavery,Edo,Stops,word-medial,p,p,1,1,[t̠ʃipa],guts,Maurer2009[238]
Principense,Gulf of Guinea,Portuguese,1499,1975,Slavery,Edo,Stops,word-initial,b,b,1,1,[bwɛga],belly,Maurer2009[216]
Principense,Gulf of Guinea,Portuguese,1499,1975,Slavery,Edo,Stops,word-medial,b,b,1,1,[kaˈbɛlu],hair,Maurer2009[221]
Principense,Gulf of Guinea,Portuguese,1499,1975,Slavery,Edo,Stops,word-initial,t,t,1,1,[ˈtudu],everything,Maurer2009[237]
Principense,Gulf of Guinea,Portuguese,1499,1975,Slavery,Edo,Stops,word-medial,t,t,1,1,[mata],to kill,Maurer2009[227]
Principense,Gulf of Guinea,Portuguese,1499,1975,Slavery,Edo,Stops,word-initial,d,d,1,1,[ˈdɔʃi],sweet,Maurer2009[217]
Principense,Gulf of Guinea,Portuguese,1499,1975,Slavery,Edo,Stops,word-medial,d,d,1,1,[ˈtudu],everything,Maurer2009[237]
Principense,Gulf of Guinea,Portuguese,1499,1975,Slavery,Edo,Stops,word-initial,k,k,1,1,[kaˈbɛlu],hair,Maurer2009[221]
Principense,Gulf of Guinea,Portuguese,1499,1975,Slavery,Edo,Stops,word-medial,k,k,1,1,[ˈsɛku],dry,Maurer2009[235]
Principense,Gulf of Guinea,Portuguese,1499,1975,Slavery,Edo,Stops,word-initial,g,g,1,1,[ˈgodo],fat,Maurer2009[220]
Principense,Gulf of Guinea,Portuguese,1499,1975,Slavery,Edo,Stops,word-medial,g,g,1,1,[bwɛga],belly,Maurer2009[216]
Principense,Gulf of Guinea,Portuguese,1499,1975,Slavery,Edo,Fricatives,word-initial,v,v,1,1,[ˈvɛ],old,Maurer2009[241]
Principense,Gulf of Guinea,Portuguese,1499,1975,Slavery,Edo,Fricatives,word-medial,v,v,1,1,[ˈlava],to wash,Maurer2009[226]
Principense,Gulf of Guinea,Portuguese,1499,1975,Slavery,Edo,Fricatives,word-initial,f,f,1,1,[uˈfogo],fire,Maurer2009[239]
Principense,Gulf of Guinea,Portuguese,1499,1975,Slavery,Edo,Fricatives,word-medial,f,f,1,1,[muˈfada],pillow,Maurer2009[229]
Principense,Gulf of Guinea,Portuguese,1499,1975,Slavery,Edo,Fricatives,word-initial,s,s,1,1,[ˈsuzu],dirty,Maurer2009[236]
