Language	Area	Lexifier	First major settlement	End of influence	Conditions of contact	Other languages in contact	Class	Position	Lexifier's Phoneme	Creole's Phoneme	Place Stability	Manner Stability	Example_converted	Reference	Gloss	
Principense	Gulf of Guinea	Portuguese	1499	1975	Slavery	Edo	Stops	word-initial	p	p	1	1	[ˈpɛnɛ]	Maurer 2009: 232	feather	
Principense	Gulf of Guinea	Portuguese	1499	1975	Slavery	Edo	Stops	word-medial	p	p	1	1	[t̠ʃipa]	Maurer 2009: 238	guts	
Principense	Gulf of Guinea	Portuguese	1499	1975	Slavery	Edo	Stops	word-initial	b	b	1	1	[bwɛga]	Maurer 2009: 216	belly	
Principense	Gulf of Guinea	Portuguese	1499	1975	Slavery	Edo	Stops	word-medial	b	b	1	1	[kaˈbɛlu]	Maurer 2009: 221	hair	
Principense	Gulf of Guinea	Portuguese	1499	1975	Slavery	Edo	Stops	word-initial	t	t	1	1	[ˈtudu]	Maurer 2009: 237	everything	
Principense	Gulf of Guinea	Portuguese	1499	1975	Slavery	Edo	Stops	word-medial	t	t	1	1	[mata]	Maurer 2009: 227	to kill	
Principense	Gulf of Guinea	Portuguese	1499	1975	Slavery	Edo	Stops	word-initial	d	d	1	1	[ˈdɔʃi]	Maurer 2009: 217	sweet	
Principense	Gulf of Guinea	Portuguese	1499	1975	Slavery	Edo	Stops	word-medial	d	d	1	1	[ˈtudu]	Maurer 2009: 237	everything	
Principense	Gulf of Guinea	Portuguese	1499	1975	Slavery	Edo	Stops	word-initial	k	k	1	1	[kaˈbɛlu]	Maurer 2009: 221	hair	
Principense	Gulf of Guinea	Portuguese	1499	1975	Slavery	Edo	Stops	word-medial	k	k	1	1	[ˈsɛku]	Maurer 2009: 235	dry	
Principense	Gulf of Guinea	Portuguese	1499	1975	Slavery	Edo	Stops	word-initial	g	g	1	1	[ˈgodo]	Maurer 2009: 220	fat	
Principense	Gulf of Guinea	Portuguese	1499	1975	Slavery	Edo	Stops	word-medial	g	g	1	1	[bwɛga]	Maurer 2009: 216	belly	
Principense	Gulf of Guinea	Portuguese	1499	1975	Slavery	Edo	Fricatives	word-initial	v	v	1	1	[ˈvɛ]	Maurer 2009: 241	old	
Principense	Gulf of Guinea	Portuguese	1499	1975	Slavery	Edo	Fricatives	word-medial	v	v	1	1	[ˈlava]	Maurer 2009: 226	to wash	
Principense	Gulf of Guinea	Portuguese	1499	1975	Slavery	Edo	Fricatives	word-initial	f	f	1	1	[uˈfogo]	Maurer 2009: 239	fire	
Principense	Gulf of Guinea	Portuguese	1499	1975	Slavery	Edo	Fricatives	word-medial	f	f	1	1	[muˈfada]	Maurer 2009: 229	pillow	
Principense	Gulf of Guinea	Portuguese	1499	1975	Slavery	Edo	Fricatives	word-initial	s	s	1	1	[ˈsuzu]	Maurer 2009: 236	dirty	
Principense	Gulf of Guinea	Portuguese	1499	1975	Slavery	Edo	Fricatives	word-medial	s	s	1	1	[pasu]	Maurer 2009: 221	bird	
Principense	Gulf of Guinea	Portuguese	1499	1975	Slavery	Edo	Fricatives	word-initial	z	z	1	1	[ˈzɔna]	Maurer 2009: 243	zone	
Principense	Gulf of Guinea	Portuguese	1499	1975	Slavery	Edo	Fricatives	word-medial	z	z	1	1	[aza]	Maurer 2009: 214	wing	
Principense	Gulf of Guinea	Portuguese	1499	1975	Slavery	Edo	Fricatives	word-initial	t̠ʃ	s	0	0	[ˈsɛra]	Maurer 2009: 235	to smell	
Principense	Gulf of Guinea	Portuguese	1499	1975	Slavery	Edo	Fricatives	word-medial	t̠ʃ	s	0	0	[ˈbisu]	Maurer 2009: 215	animal	
