Language,stability,lex_crio,lex_subs_min,lex_subs_mean,crio_subs_min,crio_subs_mean
Cape Verdean Brava,0.928571428571429,0.22727273,0.592592592592593,0.607182940516274,0.44,0.541904761904762
Cape Verdean Fogo,0.885714285714286,0.2173913,0.592592592592593,0.607182940516274,0.423076923076923,0.511043277709945
Cape Verdean Santiago,0.918918918918919,0.2173913,0.592592592592593,0.607182940516274,0.423076923076923,0.511043277709945
Cape Verdean Santo Antao,0.944444444444444,0.13636364,0.592592592592593,0.607182940516274,0.481481481481482,0.548589065255732
Cape Verdean Sao Vicente,0.916666666666667,0.13636364,0.592592592592593,0.607182940516274,0.481481481481482,0.548589065255732
Guinea-Bissau Kriyol,0.905405405405405,0.40909091,0.592592592592593,0.607182940516274,0.333333333333333,0.454439446943195
Casamancese,0.875,0.52,0.538461538461538,0.538461538461538,0.0526315789473685,0.0526315789473685
Angolar,0.666666666666667,0.47826087,0.5,0.569444444444444,0.586206896551724,0.627148330596607
Fa d'Ambo,0.652777777777778,0.33333333,0.5,0.569444444444444,0.481481481481482,0.54323892519971
Principense,0.824324324324324,0.29166667,0.5,0.569444444444444,0.433333333333333,0.508532670601636
Santome,0.77027027027027,0.26086957,0.5,0.569444444444444,0.485714285714286,0.527976190476191
Daman,0.902777777777778,0.32,0.75,0.75,0.65,0.65
Diu,0.888888888888889,0.41666667,0.75,0.75,0.611111111111111,0.611111111111111
Korlai,0.819444444444444,0.60606061,0.849056603773585,0.849056603773585,0.722222222222222,0.722222222222222
Kannur,0.9,0.30434783,0.760869565217391,0.760869565217391,0.711111111111111,0.711111111111111
Sri Lanka Portuguese,0.888888888888889,0.39130435,0.67741935483871,0.693548387096774,0.5,0.560344827586207
Patua Macau,0.905405405405405,0.36,0.733333333333333,0.733333333333333,0.633333333333333,0.633333333333333
Papia Kristang,0.875,0.5,0.517241379310345,0.603448275862069,0.307692307692308,0.457417582417582
Timor Pidgin,0.9,0.36,0.592592592592593,0.600644122383253,0.423076923076923,0.482371794871795
